"","YearWeekISO","FirstDose","FirstDoseRefused","SecondDose","UnknownDose","NumberDosesReceived","Region","Population","ReportingCountry","TargetGroup","Vaccine","Denominator"
"187","2021-W05",0,0,1,0,36000,"AT",8901064,"AT","1_Age<60","AZ",5099181
"188","2021-W05",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"189","2021-W05",0,0,0,0,0,"AT",8901064,"AT","ALL","JANSS",7358443
"190","2021-W05",0,0,1,0,36000,"AT",8901064,"AT","ALL","AZ",7358443
"191","2021-W05",1677,0,0,0,28800,"AT",8901064,"AT","ALL","MOD",7358443
"192","2021-W05",16902,0,77985,0,66690,"AT",8901064,"AT","ALL","COM",7358443
"193","2021-W05",913,0,2670,0,66690,"AT",8901064,"AT","Age18_24","COM",696064
"194","2021-W05",0,0,0,0,0,"AT",8901064,"AT","Age18_24","JANSS",696064
"195","2021-W05",0,0,0,0,36000,"AT",8901064,"AT","Age18_24","AZ",696064
"196","2021-W05",23,0,0,0,28800,"AT",8901064,"AT","Age18_24","MOD",696064
"197","2021-W05",0,0,0,0,0,"AT",8901064,"AT","Age25_49","JANSS",3006228
"198","2021-W05",0,0,1,0,36000,"AT",8901064,"AT","Age25_49","AZ",3006228
"199","2021-W05",228,0,0,0,28800,"AT",8901064,"AT","Age25_49","MOD",3006228
"200","2021-W05",6392,0,25182,0,66690,"AT",8901064,"AT","Age25_49","COM",3006228
"201","2021-W05",132,0,0,0,28800,"AT",8901064,"AT","Age50_59","MOD",1396889
"202","2021-W05",0,0,0,0,0,"AT",8901064,"AT","Age50_59","JANSS",1396889
"203","2021-W05",0,0,0,0,36000,"AT",8901064,"AT","Age50_59","AZ",1396889
"204","2021-W05",4251,0,17325,0,66690,"AT",8901064,"AT","Age50_59","COM",1396889
"205","2021-W05",1599,0,7887,0,66690,"AT",8901064,"AT","Age60_69","COM",1016016
"206","2021-W05",0,0,0,0,0,"AT",8901064,"AT","Age60_69","JANSS",1016016
"207","2021-W05",0,0,0,0,36000,"AT",8901064,"AT","Age60_69","AZ",1016016
"208","2021-W05",45,0,0,0,28800,"AT",8901064,"AT","Age60_69","MOD",1016016
"209","2021-W05",0,0,0,0,0,"AT",8901064,"AT","Age70_79","JANSS",769199
"210","2021-W05",0,0,0,0,36000,"AT",8901064,"AT","Age70_79","AZ",769199
"211","2021-W05",1232,0,6905,0,66690,"AT",8901064,"AT","Age70_79","COM",769199
"212","2021-W05",37,0,0,0,28800,"AT",8901064,"AT","Age70_79","MOD",769199
"213","2021-W05",2465,0,17897,0,66690,"AT",8901064,"AT","Age80+","COM",474047
"214","2021-W05",0,0,0,0,36000,"AT",8901064,"AT","Age80+","AZ",474047
"215","2021-W05",0,0,0,0,0,"AT",8901064,"AT","Age80+","JANSS",474047
"216","2021-W05",1212,0,0,0,28800,"AT",8901064,"AT","Age80+","MOD",474047
"217","2021-W06",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"218","2021-W06",5768,0,36730,0,66690,"AT",8901064,"AT","1_Age60+","COM",2259262
"219","2021-W06",614,0,0,0,43200,"AT",8901064,"AT","1_Age60+","AZ",2259262
"220","2021-W06",1732,0,74,0,0,"AT",8901064,"AT","1_Age60+","MOD",2259262
"221","2021-W06",2214,0,8,0,0,"AT",8901064,"AT","1_Age<60","MOD",5099181
"222","2021-W06",10131,0,0,0,43200,"AT",8901064,"AT","1_Age<60","AZ",5099181
"223","2021-W06",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"224","2021-W06",7860,0,50224,0,66690,"AT",8901064,"AT","1_Age<60","COM",5099181
"225","2021-W06",13628,0,86954,0,66690,"AT",8901064,"AT","ALL","COM",7358443
"226","2021-W06",3946,0,82,0,0,"AT",8901064,"AT","ALL","MOD",7358443
"227","2021-W06",10745,0,0,0,43200,"AT",8901064,"AT","ALL","AZ",7358443
"228","2021-W06",0,0,0,0,0,"AT",8901064,"AT","ALL","JANSS",7358443
"229","2021-W06",0,0,0,0,0,"AT",8901064,"AT","Age18_24","JANSS",696064
"230","2021-W06",603,0,3361,0,66690,"AT",8901064,"AT","Age18_24","COM",696064
"231","2021-W06",2278,0,0,0,43200,"AT",8901064,"AT","Age18_24","AZ",696064
"232","2021-W06",98,0,0,0,0,"AT",8901064,"AT","Age18_24","MOD",696064
"233","2021-W06",5286,0,0,0,43200,"AT",8901064,"AT","Age25_49","AZ",3006228
"234","2021-W06",0,0,0,0,0,"AT",8901064,"AT","Age25_49","JANSS",3006228
"235","2021-W06",1261,0,1,0,0,"AT",8901064,"AT","Age25_49","MOD",3006228
"236","2021-W06",4371,0,28879,0,66690,"AT",8901064,"AT","Age25_49","COM",3006228
"237","2021-W06",2548,0,0,0,43200,"AT",8901064,"AT","Age50_59","AZ",1396889
"238","2021-W06",855,0,7,0,0,"AT",8901064,"AT","Age50_59","MOD",1396889
"239","2021-W06",2842,0,17899,0,66690,"AT",8901064,"AT","Age50_59","COM",1396889
"240","2021-W06",0,0,0,0,0,"AT",8901064,"AT","Age50_59","JANSS",1396889
"241","2021-W06",1398,0,6937,0,66690,"AT",8901064,"AT","Age60_69","COM",1016016
"242","2021-W06",0,0,0,0,0,"AT",8901064,"AT","Age60_69","JANSS",1016016
"243","2021-W06",602,0,0,0,43200,"AT",8901064,"AT","Age60_69","AZ",1016016
"244","2021-W06",309,0,4,0,0,"AT",8901064,"AT","Age60_69","MOD",1016016
"245","2021-W06",8,0,0,0,43200,"AT",8901064,"AT","Age70_79","AZ",769199
"246","2021-W06",1438,0,6492,0,66690,"AT",8901064,"AT","Age70_79","COM",769199
"247","2021-W06",0,0,0,0,0,"AT",8901064,"AT","Age70_79","JANSS",769199
"248","2021-W06",440,0,5,0,0,"AT",8901064,"AT","Age70_79","MOD",769199
"249","2021-W06",0,0,0,0,0,"AT",8901064,"AT","Age80+","JANSS",474047
